Course Reference Number,Skill Title,Course Title,About This Course,What You'll Learn,skill_lower,Sector Relevance,proficiency_level,reason,confidence,proficiency_level_rac_chart,reason_rac_chart,confidence_rac_chart
TGS-2020500709,Aircraft Dispatch,Aircraft Search / Check,This training shall focus on the necessary knowledge and skills required to conduct an aircraft search to ensure that the aircraft is safe and secure.,"Module 1: Introduction to Aircraft Search / Check_x000D_
Module 2: Threats to Civil Aviation _x000D_
Module 3: Dangerous Goods, Prohibited Items and Improvised Explosive Device_x000D_
Module 4: Aircraft Search / Check _x000D_
Module 5: Detection of Suspected Items",aircraft dispatch,In Sector,0,"The course focuses on aircraft search and security, not on flight dispatch procedures or decision-making.",high,0.0,"The course content focuses on aircraft search and security, which does not directly relate to the skill of aircraft dispatch as defined in the Knowledge Base.",high
TGS-2024042584,Wildlife Hazard Management,Green Supply Chain and Sustainable Procurement,"This course is designed to equip participants with the knowledge and skills needed to integrate sustainability principles effectively into logistics management. The learning objectives encompass a comprehensive understanding of sustainability integration methods, tools, and techniques. Students will delve into legislative frameworks, regulations, and codes of practice concerning resource hazards and risks within work areas, job specifications, and procedures. Moreover, the course focuses on elucidating ISO 20400 and ISO 14001 guidelines, crucial for sustainable procurement and environmental management systems. Participants will learn to align with environmental policies, ensuring compliance with regulatory mandates in the realm of sustainable procurement. The course emphasizes the harmonization of an organization's sustainability strategies to promote environmental preservation and sustainable procurement practices. Practical aspects involve creating customized sustainability enhancement plans, aligning utility and transportation plans with industry benchmarks for environmental performance and resource efficiency in procurement practices. Lastly, students will develop assessment criteria for ethically sourced materials and products to prioritize minimal adverse environmental impacts, enhancing sustainable procurement endeavors. Through this course, participants will gain a holistic understanding of sustainable practices, preparing them for effective integration within logistics management.","- Circular economy management via waste reduction_x000D_
- Sustainable Singapore Blueprint_x000D_
- ISO 20400: Sustainable Procurement - Guidance_x000D_
- ISO 14001: Environmental Management Systems - Requirements with Guidance for Use_x000D_
- Environmental Protection and Management Act (EPMA)_x000D_
- Singapore Green Procurement Guide_x000D_
- EMS planning vide ISO 14001: Environmental Management Systems - Requirements with Guidance for Use_x000D_
- Sustainable procurement plans vide ISO 20400: Sustainable Procurement - Guidance",wildlife hazard management,In Sector,0,"The course focuses on sustainable procurement and environmental management, not specifically on wildlife hazard management.",high,0.0,"The course content provided does not mention wildlife hazard management or any related topics. The focus is on sustainable procurement, environmental management systems, and sustainability integration in logistics management.",high
TGS-2021006922,Food And Beverage Services,Advanced Information Management (Classroom and Asynchronous),"1. Define data architecture design and formulation, information or data flows of a business, data_x000D_
structure design and oversee the organisation's data architecture, including the monitoring and_x000D_
management of data flows. (K1, K2, K3, A3)_x000D_
2. Define types of information assets and their business value and establish data standards,_x000D_
internal processes and structures to enable the organisation to maximise value from data and_x000D_
information assets. (K4, A1)_x000D_
3. Define data management approaches and frameworks, and their pros and cons, manage usage_x000D_
of various forms of data to support decision-making and business processes and establish the_x000D_
organisation's data management strategy. (K5, A4, A6)_x000D_
4. Define existing, new and revised internal and external information regulation policies and_x000D_
requirements and develop corporate Standard Operating Procedures (SOP), protocols and_x000D_
standards for data management, sourcing, handling and treatment. (K6, A7)_x000D_
5. Define specific industry domain and anticipate the current and future information lifecycle needs_x000D_
of an organisation. (K7, A5)_x000D_
6. Establish guidelines for effective data storage, sharing and publishing within the organisation_x000D_
and direct the capturing, retention and utilisation of critical data. (A2, A8)","Define a coherent data strategy and spearhead new approaches to enrich, synthesise and apply data, to maximise the value of data as a critical business asset and driver.",food and beverage services,In Sector,0,"The course content is focused on data management and architecture, not on Food and Beverage Services.",high,0.0,The course content and skills taught in the Advanced Information Management training course do not align with the knowledge and abilities associated with food and beverage services as defined in the Knowledge Base.,high
TGS-2023018138,Fire Prevention And Firefighting,Project Management (Sfw),"- Understand the elements of systematic project management_x000D_
- Assess project time constraints in order to sequence tasks accordingly_x000D_
- Apply a systematic approach to project management on job-related projects_x000D_
- Develop a project schedule to guide time management of the project_x000D_
- Understand the key factors to successful project management_x000D_
- Implement and manage the project schedule to ensure project objectives are met within the time frame","Research has shown that most project failures are often caused by the lack of training in the fundamentals of project management. Faced with a tight deadline, a manager can be tempted to skip planning and leap straight into implementation. However, this can lead to a significant amount of time spent on â€œfire-fightingâ€ and can lead to failure in achieving the intended objectives. Â ",fire prevention and firefighting,In Sector,0,The course focuses on project management and does not cover specific skills in fire prevention and firefighting.,high,0.0,The course content provided does not directly relate to the specific knowledge and abilities associated with fire prevention and firefighting as defined in the Knowledge Base. The course focuses on project management skills rather than fire prevention and firefighting.,high
TGS-2023018360,Network Planning And Operations,Reach for Your Star - Personal Branding & Resilience,"1. Understand oneâ€™s basic needs and level of resilience, prioritize personal values, set and work out goals_x000D_
2. Connect personal goals to organizational goals, plan tasks and manage time_x000D_
3. Understand and apply stress management techniques to build personal resilience, and identify network strategies to enhance personal branding and resilience. _x000D_
_x000D_
","This program will equip participants to apply knowledge and life skills such as establishing personal goals and analyzing them to relate to roles and responsibilities in the achievement of departmental goals, managing time effectively, maintaining work-life balance and managing stress to be effective at the workplace as a team leader or supervisor.",network planning and operations,In Sector,0,"The course focuses on personal branding, resilience, and time management, not on network planning and operations.",high,0.0,"The course content provided does not align with the specific knowledge and abilities associated with the proficiency levels for the skill 'network planning and operations' as defined in the Knowledge Base. The course focuses on personal branding, resilience, goal setting, time management, and stress management, which are not directly related to the technical and operational aspects of network planning and operations in the aviation industry.",high
TGS-2018505060,Baggage Lost And Found Operations,Security Screening Management (Conduct Security Screening of Person and Bag),Prepare security screening duty;Prepare person for security screening;Conduct security screening of person and bag;Conduct manual screening (pat-down) of person;Conduct manual bag search;Conclude security screening activities;,Prepare security screening duty;Prepare person for security screening;Conduct security screening of person and bag;Conduct manual screening (pat-down) of person;Conduct manual bag search;Conclude security screening activities;,baggage lost and found operations,In Sector,0,The course description does not mention Baggage Lost And Found Operations.,high,0.0,"The course content provided does not include any specific training or tasks related to baggage lost and found operations. The skills listed in the course content are focused on security screening and manual searches, which do not align with the knowledge and abilities required for baggage lost and found operations as defined in the Knowledge Base.",high
TGS-2022015418,Service Innovation,Credit Risk Management,"After the end of the course, learners will be to prepare credit risk report, conduct credit risk analyses and formulate debt recovery plans._x000D_
1.	  Learners will be able to compile credit risk data._x000D_
2.	  Learners will be able to perform credit risk analysis._x000D_
3.	  Learners will be able to formulate debt recovery plans and submit for approval.","The global financial crisis has put credit risk management into the regulatory spotlight. As a result, regulators began to demand more transparency. They wanted to know that a institution has thorough knowledge of customers and their associated credit risk. To comply with the more stringent regulatory requirements and absorb the higher capital costs for credit risk, many financial institutions and companies are overhauling their approaches to credit risk. But these companies who view this as strictly a compliance exercise are being short-sighted. Better credit risk management also presents an opportunity to greatly improve overall performance and secure a competitive advantage.",service innovation,In Sector,0,"The course focuses on credit risk management, not on service innovation.",high,0.0,"The course content provided does not directly relate to the skill of service innovation. The focus is on credit risk management, including preparing credit risk reports, conducting credit risk analyses, and formulating debt recovery plans. There is no mention of service innovation or related activities.",high
TGS-2023040828,Airport Safeguarding And Security,AWS Security Essentials,"This course covers fundamental Amazon Web Services (AWS) security concepts, including AWS access control, data encryption methods, and how to secure network access to your AWS infrastructure. Based on the AWS Shared Responsibility Model, you learn your responsibilities related to implementing security in the AWS Cloud and which security-oriented services are available to you. You also learn why and how the security services help meet the security needs of your organization.","LO1: Analyze and identify security requirements, focusing on network threats and vulnerabilities within the organization._x000D_
LO2: Propose dynamic security solutions for VPN issues, considering bandwidth and operational requirements._x000D_
LO3: Implement network hardening measures, configuring routers and switches as per security requirements._x000D_
LO4: Design tests for hardware and software security products, debugging security issues based on test results._x000D_
LO5: Review logs and audit reports, recording incidents and attempts related to security perimeters and data encryption.",airport safeguarding and security,In Sector,0,"The course focuses on AWS security concepts, not specifically on airport safeguarding and security.",high,0.0,"The course content and learning outcomes provided do not directly relate to airport safeguarding and security. The skills and knowledge areas mentioned in the course are focused on AWS security concepts, network security, and data encryption, which are not directly applicable to airport security.",high
TGS-2020500082,Standard Operating Procedures Development,HAZMAT TRANSPORT DRIVER PERMIT (HTDP) COURSE,"At the end of the course, participants should be able to:_x000D_
_x000D_
Â•	Explain the 9 classes of hazardous substances and their identifications_x000D_
Â•	Explain the purpose and legislation requirements on the transportation of hazardous materials_x000D_
Â•	Appreciate the roles and responsibilities of the drivers in any emergency_x000D_
Â•	Appreciate the basic principles on the chemistry of fire and be able to operate a fire extinguisher effectively.","(1) Hazard Identification & Information Systems_x000D_
(2) Hazards Classes_x000D_
(3) Role and responsibilities of Hazmat Transport Drivers_x000D_
(4) Control on the Transportation of Hazmat by Road_x000D_
(5) Transportation Emergency Response Plan (TERP)_x000D_
(6) Implement risk controls and riew risk controls_x000D_
(7) Carry out risk controls_x000D_
(8) Emergency Response Procedures Guides_x000D_
(9) Basic Fire Fighting (theory and practical demonstration).",standard operating procedures development,In Sector,0,The course focuses on explaining and appreciating SOPs rather than developing or administering them.,high,0.0,"The course content does not explicitly cover the development of standard operating procedures (SOPs). The focus is on understanding hazardous materials, legislation, emergency response, and basic fire fighting. There is no mention of developing, managing, or auditing SOPs.",high
TGS-2018508790,Service Coaching,ACT with Mindfulness,"1. Learn about what mindfulness is, including the relevance of attention, intention, and attitudes of mindfulness for finding meaning and thriving in a volatile, uncertain, complex and ambiguous (VUCA) world.
2. Experience a variety of formal and informal mindfulness practices to increase self-awareness, increase well-being and develop resilience at work and in personal life, and find meaning and purpose in work and personal life.
3. Develop mindfulness-based strategies for well-being, engaged working and living, coping with a VUCA world, as well as develop a personal practice of mindfulness to support these strategies.","Using a combination of formal and informal mindfulness practices, as well as Acceptance and Commitment Training (ACT) strategies, this course will help participants align themselves with purpose and meaning at work and beyond. Understanding our values in the different domains of our life can help us develop psychological flexibility and resilience, where our behaviours and actions can determine how we live.",service coaching,In Sector,0,"The course focuses on mindfulness and personal well-being, not on coaching for service performance.",high,0.0,"The course content focuses on mindfulness practices, self-awareness, well-being, resilience, and psychological flexibility. It does not explicitly cover the characteristics and roles of a coach, components of a coaching plan, techniques for coaching, or methods to monitor and provide feedback on service performance, which are required for proficiency level 3 in service coaching.",high
TGS-2020000394,Airside Driving,Graduate Certificate in Strategic Digital Transformation in Finance Module 3: Improving Financial Outcomes with Data Analytics - Going Beyond the Ledger (Synchronous E-learning),"At the end of the 2-day module, participants will be able to:_x000D_
â€¢ Understand the need for analytics and the type of analytical approaches â€“ descriptive, diagnostic, predictive and prescriptive_x000D_
â€¢ Understand the emerging analytics landscape and importance of demystifying big data_x000D_
â€¢ Learn about the capabilities of analytics in the analytics value chain for various industries, the various analytical techniques and their application_x000D_
â€¢ Learn about the requirements of enterprise wide business analytics implementation_x000D_
â€¢ Understand through the use of case studies the importance of analytics framework in driving proper adoption of analytics","This module is designed for finance professionals who wish to enhance their vocabulary to engage in meaningful and constructive conversations on how to leverage data and analytics to improve their business process and business performance. The module will provide participants with practical knowledge on what business analytics entails and the process, enablements and creativity required to extract business value from data.",airside driving,In Sector,0,The course content is unrelated to airside driving skills and focuses on data analytics in finance.,high,0.0,"The course content and skill taught in the module are related to data analytics and financial outcomes, which do not align with the knowledge and abilities associated with airside driving as defined in the Knowledge Base.",high
TGS-2020501586,Business Negotiation,Extracting Business Value through Data Analytics,"At the end of the course, participants should be able to: Understand what data-driven problem solving entails. Have a working vocabulary to converse with data scientists and data analysts. Frame a business problem and translate it into a data solution. Prepare their organisations for its Analytics journey.","The need for analytics_x000D_
The analytics landscape_x000D_
The spectrum of analytical approaches: Descriptive, Diagnostic, Predictive, Prescriptive_x000D_
Demystifying Big Data_x000D_
Undestanding the types of problems you are solving: Deviation, Anticipation, Allocation_x000D_
Framing the problem: What-Why-How_x000D_
Getting started with analytics: a 7-step problem-solving methodology_x000D_
Examples of bad analytics_x000D_
Re-framing the problem: the power of simplicity and innovative thinking_x000D_
Enabling analytics_x000D_
Developing analytical frameworks_x000D_
Brief overview of analytics techniques and their application_x000D_
Case study exercise on analytics_x000D_
Your analytics journey impactful, repeatable, sustainable",business negotiation,In Sector,0,"The course focuses on data analytics and problem-solving, not on business negotiation skills.",high,0.0,The course content provided does not explicitly cover the knowledge and abilities associated with business negotiation at any of the proficiency levels defined in the Knowledge Base. The focus of the course is on data analytics and problem-solving rather than negotiation techniques and strategies.,high
TGS-2020503003,Airside Operations Management,Cloud Security Practice (for Financial Sector),"At the end of the workshop, participants will a) be aware of threats, vulnerabilities, risks and controls applicable for cloud; b) understand the scope of consideration with regards to Technology Risk Management for cloud; c) understand the best cybersecurity practices and regulatory compliance requirements of cloud; d) be familiar with MAS and HKMA's guidance, best practices of cloud, drawing references also from cloud trade associations, such as Cloud Security Alliance.","1. Threat, vulnerabilities, risks and controls_x000D_
â€¢	Overview of threats, vulnerabilities and risks of cloud_x000D_
â€¢	Controls requirements for consideration â€“ use cases and group work to reinforce the learning in this area._x000D_
_x000D_
_x000D_
2. Cloud Computing â€“ regulatory framework and compliance requirements_x000D_
â€¢	Key controls requirements for cloud outsourcing arrangements published by ABS_x000D_
â€¢	Use cases and group discussion on various scenarios on different focus of security in cloud outsourcing arrangement_x000D_
â€¢	Review of MAS cloud computing section of the MAS Guidelines on Outsourcing. Group work â€“ to evaluate the potential risks and the security practice when cloud service is implemented as part of the outsourcing arrangement._x000D_
â€¢	HKMA â€“ group discussion to identify the delta between MAS and HKMA with regards to regulatory requirements for cloud computing._x000D_
_x000D_
_x000D_
3. Best practices for cloud computing â€“ Incorporating the 12 domains _x000D_
â€¢	Cloud computing concepts and architectures, Governance and enterprise risk management, legal issues, contracts and electronic discovery, compliance and audit management, information governance, management plane and business continuity, infrastructure security, virtualization and containers, incident response, application security, data security and encryption, identify entitlement and access management.",airside operations management,In Sector,0,"The course content is focused on cloud security practices, not airside operations management.",high,0.0,The provided course content and skill taught do not match the knowledge and abilities associated with airside operations management proficiency levels in the Knowledge Base.,high
TGS-2020503017,Dangerous Goods Management,ITSM for Cybersecurity,"Participants will learn about the range of processes applicable to and relevant to ITSM management including cybersecurity service management; how to troubleshoot seurity-related incidents, escalating alerts to relevant stakeholders and analyse root causes and implications of incidents; how to determine the IT assets to be procured and to apply the relevant guidelines for proper handling, storage and maintenance, and for managing the phase-in and phase-out of IT assets; how to describe the problem management lifecycle from diagnosis and prioritisation to the identification and implementation of solutions involving security threats, incidents or vulnerabilities.","1.Â Â Â Â Â  Understand the continuum of controls relative to the timeline of a security incident_x000D_
2.Â Â Â Â Â  Develop processes relevant for planning and defence establishment phase_x000D_
3.Â Â Â Â Â  Processes relevant for Incident & Problem lifecycle Management of security incidents_x000D_
4.Â Â Â Â Â  Infrastructure support management functions_x000D_
Â·Â Â Â Â Â Â Â  Configuration management_x000D_
Â·Â Â Â Â Â Â Â  Change management_x000D_
Â·Â Â Â Â Â Â Â  Availability management_x000D_
Â·Â Â Â Â Â Â Â  Incident management_x000D_
Â·Â Â Â Â Â Â Â  Problem management_x000D_
Â·Â Â Â Â Â Â Â  Release and deployment_x000D_
Â·Â Â Â Â Â Â Â  Service level management_x000D_
Â·Â Â Â Â Â Â Â  Capacity management_x000D_
Â·Â Â Â Â Â Â Â  Continuity management_x000D_
Â·Â Â Â Â Â Â Â  Security patch management",dangerous goods management,In Sector,0,"The course focuses on ITSM and cybersecurity, not on dangerous goods management.",high,0.0,"The course content provided does not include any specific information or training related to dangerous goods management. The skills and knowledge areas mentioned in the course are focused on ITSM management, cybersecurity service management, incident and problem lifecycle management, and infrastructure support management functions. There is no mention of hazardous materials, dangerous goods, or related regulations and procedures.",high
TGS-2020504378,Food And Beverage Services,Internationalisation (Asia) Series: New Ventures in Jakarta,"""Indonesia is Southeast Asiaâ€™s largest economy and population, rich in all types of natural resources as well as culture diversity. In the last 2 decades, the GDP per capital has risen by over 70% with even more projected growth in the next 10 years, making it ASEAN largest consumer economy.  The time is now to take advantage of the opening up of the Indonesian economy to foreign investors especially in the areas of Business Services, Food & Beverages, Retailing and Technology Innovation. _x000D_
_x000D_
Internationalisation (Asia) Series: New Ventures in Jakarta will provide participants an oversight of the countryâ€™s economic environment and the potential as well as the challenges of setting up a business in Indonesia. Participants will start their business in Indonesia on the right foot by gaining deep knowledge coupled with in market meetings with experienced entrepreneurs.""","""Learning Objectives:_x000D_
â€¢ Develop market insights on the economic potential in Indonesia_x000D_
â€¢ Gain skillsets in recognizing opportunities _x000D_
â€¢ Identify and leverage on the resources from the course to fast track business networking_x000D_
â€¢ Avoid pitfalls faced by most entrepreneurs when venturing abroad.""",food and beverage services,In Sector,0,"The course focuses on business insights and market opportunities in Indonesia, not specifically on Food and Beverage Services.",high,0.0,"The course content focuses on developing market insights, recognizing opportunities, business networking, and avoiding pitfalls in the context of setting up a business in Indonesia. It does not provide specific knowledge or abilities related to food and beverage services as defined in the Knowledge Base.",high
