Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
Advanced Certificate in Practical Business Law Module 7: Bytes and Brawls - Navigating Commercial Dispute in the Digital Landscape,TGS-2021004010,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"At the end of the 2-day module, participants will be able to: _x000D_
â€¢ Learn about common business/ commercial disputes, and how generally to avoid them_x000D_
â€¢ Understand that, where disputes cannot be avoided, they can be dealt with in manner that preserves working relationships_x000D_
â€¢ Learn to adopt effective dispute-resolution frameworks that involve de-escalation, negotiations, and settlements_x000D_
â€¢ Know the various modes of dispute resolution, including mediation, arbitration, and litigation, and when to use which_x000D_
â€¢ Understand the procedure, timelines, and rules behind these dispute resolution modes_x000D_
â€¢ Know the role of various stakeholders (e.g. senior management, line managers, in-house counsel etc) in supporting dispute resolution_x000D_
â€¢ Understand how to work effectively with external counsel in managing disputes","Disputes are generally viewed as distractions for businesses who prefer their leaders to concentrate on expansion and growth. Thus, when a business is faced with a commercial dispute, the aim is usually to quickly resolve the matter with minimal time, resources and reputational damage. This module provides participants with an in-depth understanding of the processes and strategic aspects of dispute resolution in commercial contexts.",Organisational Development,Conflict Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
Advanced Certificate in Practical Business Law Module 7: Bytes and Brawls - Navigating Commercial Dispute in the Digital Landscape (Synchronous E-Learning),TGS-2021004011,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"At the end of the 2-day module, participants will be able to: _x000D_
â€¢ Learn about common business/ commercial disputes, and how generally to avoid them_x000D_
â€¢ Understand that, where disputes cannot be avoided, they can be dealt with in manner that preserves working relationships_x000D_
â€¢ Learn to adopt effective dispute-resolution frameworks that involve de-escalation, negotiations, and settlements_x000D_
â€¢ Know the various modes of dispute resolution, including mediation, arbitration, and litigation, and when to use which_x000D_
â€¢ Understand the procedure, timelines, and rules behind these dispute resolution modes_x000D_
â€¢ Know the role of various stakeholders (e.g. senior management, line managers, in-house counsel etc) in supporting dispute resolution_x000D_
â€¢ Understand how to work effectively with external counsel in managing disputes","Disputes are generally viewed as distractions for businesses who prefer their leaders to concentrate on expansion and growth. Thus, when a business is faced with a commercial dispute, the aim is usually to quickly resolve the matter with minimal time, resources and reputational damage. This module provides participants with an in-depth understanding of the processes and strategic aspects of dispute resolution in commercial contexts.",Organisational Development,Conflict Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
Advanced Certificate in Supply Chain Innovation and Transformation Module 2: Introduction to the Digital Transformation Toolkit and Project Management (Synchronous E-learning),TGS-2021008911,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"At the end of the 3-day module, participants will be able to_x000D_
â€¢ Apply the innovation transformation toolkit_x000D_
â€¢ Develop a more comprehensive view of the project management lifecycle_x000D_
â€¢ Understand how to leverage people, processes and technology to help their organisations achieve digital transformation","This module focuses on the use of the innovation transformation toolkit. The toolkit introduces the means to diagnose the state of innovation readiness for a business/ organisation. It starts with diagnosis and then jorneys through three phases of development â€“ conceptualisation, proof of concept and deployment. Participants will also be equipped with critical project management skills which will enable them to manage and meet the milestones of different project phases and to deliver on their organisation's digital transformation strategies.",Business and Organisational Management,Project Management,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
Advanced Certificate in Logistics and Supply Chain Management Module 3: Order Fulfilment and Transportation Management (Synchronous E-learning),TGS-2021008935,SINGAPORE MANAGEMENT UNIVERSITY,200000267Z,SSG-NON-WSQ,"At the end of the 2-day module, participants will be able to:_x000D_
â€¢ Learn the key concepts of multi-modal integrated transport in an urban and regional context_x000D_
â€¢ Understand current practices and developments in transport planning studies and how to get results_x000D_
â€¢ Understand the practical issues and approaches in integrating multi-modal transport","This module is designed for individuals seeking to develop an operating knowledge of transportation operations management relating to manufacturing and supply chain. Participants will acquire concepts and operational specifics of commercial intermodal transportation pertaining to freight movement. They will also learn about intermodal services, terminals, equipment and information systems and the interactions between individual modes and intermediaries.",Manufacturing and Operations,Manufacturing Technology,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
L4 People Change Management,TGS-2019503961,TRAINING MASTERS WORKFORCE INSTITUTE PTE LTD,200102457M,SSG-WSQ,"Manage change processes which includes facilitating innovation at the workplace, implementing change strategies and processes and evaluating the impact of change",,Organisational Development,Change Management,TRAINING MASTERS WORKFORCE INSTITUTE PTE LTD,SSG-WSQ,N
Develop a Risk Management Implementation Plan,TGS-2012501109,ABSOLUTE KINETICS CONSULTANCY PTE LTD,200102574Z,SSG-WSQ,"Learners will acquire the knowledge and skills to be a RM Team/Leader/Risk Management Champion for the organisation in reducing risks at source by managing the risk management process at workplace. It involves developing a practical risk management implementation plan for organisation which identify specific actions to be taken, by whom and time for their completion. It also entails formation of risk management team, risk assessment, controlling and monitoring the risks, communicating these risks to all persons involved and in compliance with the risk management code of practice (RMCP).","1. Workplace Safety and Health (risk Management Regulation)_x000D_
2. Risk Management Process_x000D_
3. Risk Assessment Plan_x000D_
4. Concept of risk assessment_x000D_
5. Risk assessment methodology_x000D_
6. Risk Control measures methodology_x000D_
7. concept of ALARP_x000D_
8. Risk communication",Workplace Safety and Health Management,Workplace Safety and Health System Management,ABSOLUTE KINETICS CONSULTANCY PTE LTD,SSG-WSQ,N
Manage Workplace Safety and Health in Construction Sites,TGS-2020513072,ABSOLUTE KINETICS CONSULTANCY PTE LTD,200102574Z,SSG-WSQ,"These mandated safety courses will equip the workers, supervisors and project managers with the_x000D_
essential competencies to work safely in the construction and other related industries.","1. Understand the legal obligations of duty holders, including the project manager of a worksite, under the new WSH framework. _x000D_
2. Form the WSH Committee and implement its functions. _x000D_
3. Plan and implement safety programme, system and safe work procedure for construction activities in accordance with WSH (Construction) Regulations. _x000D_
4. Plan and implement an occupational health programme, risk assessment and risk management for all construction activities in accordance with general principles and requirements of related WSH Regulations and Guidelines._x000D_
5. Establish the procedures for incident reporting, accident prevention and investigation and implement Safety and Health Management System in worksite in accordance with general principles and requirements of related WSH Regulations and Guidelines. _x000D_
6. Plan and participate in safety and health audit and review in worksite in accordance with general principles and requirements of related WSH Regulations and Guidelines.",Workplace Safety and Health Management,Workplace Safety and Health Practice,ABSOLUTE KINETICS CONSULTANCY PTE LTD,SSG-WSQ,N
Manage Workplace Safety and Health in Construction Sites,TGS-2020513072,ABSOLUTE KINETICS CONSULTANCY PTE LTD,200102574Z,SSG-WSQ,"These mandated safety courses will equip the workers, supervisors and project managers with the_x000D_
essential competencies to work safely in the construction and other related industries.","1. Understand the legal obligations of duty holders, including the project manager of a worksite, under the new WSH framework. _x000D_
2. Form the WSH Committee and implement its functions. _x000D_
3. Plan and implement safety programme, system and safe work procedure for construction activities in accordance with WSH (Construction) Regulations. _x000D_
4. Plan and implement an occupational health programme, risk assessment and risk management for all construction activities in accordance with general principles and requirements of related WSH Regulations and Guidelines._x000D_
5. Establish the procedures for incident reporting, accident prevention and investigation and implement Safety and Health Management System in worksite in accordance with general principles and requirements of related WSH Regulations and Guidelines. _x000D_
6. Plan and participate in safety and health audit and review in worksite in accordance with general principles and requirements of related WSH Regulations and Guidelines.",Workplace Safety and Health Management,Workplace Safety and Health System Management,ABSOLUTE KINETICS CONSULTANCY PTE LTD,SSG-WSQ,N
WSQ: Develop a Risk Management Implementation Plan (bizSAFE Level 2),TGS-2012500973,BOND INTERNATIONAL CONSULTANTS PTE LTD,200103238E,SSG-WSQ,"This course aims to empower Risk Management Champions (top management, WSH Committee members, EHS personnel, Managers, Engineers & Supervisors) with the knowledge and skills in managing the risk management process at workplace and to devise their own risk management plans for their own. _x000D_
_x000D_
It involves developing a practical risk management implementation plan for the organisation which identify specific actions to be taken, by whom and time for their completion. It also entails formation of risk management team, risk assessment, controlling and monitoring the risks, communicating these risks to all persons involved and in compliance with the Risk Management Code of Practice","Organisational Workplace Safety and Health (WSH) Policy_x000D_
Verify the expectations of a risk Management Champion/Risk Management Team Leader_x000D_
Workplace Safety and Health Risk Management Regulations requirements_x000D_
Form a risk management team_x000D_
Risk management process_x000D_
Risk Assessment_x000D_
Establish hazard identification methodology_x000D_
Classification of WSH hazards_x000D_
Hazards associated with tools, equipment, materials and machines_x000D_
Hazards associated with work processes/activities, workplace conditions and environment_x000D_
At-risk behaviours_x000D_
Concept of risk assessment_x000D_
Establish risk assessment methodology_x000D_
Establish risk control measures methodology_x000D_
Develop a workplace risk management plan_x000D_
What is SGSecure_x000D_
Stakeholders of SGSecure in Workplace Safety, Health and Security_x000D_
Roles of Risk Management Champions, RM Leaders and RA Leaders in SGSecure_x000D_
Identifying workplace terror threats and implementing risk control measures_x000D_
Formulating a Risk Assessment on terror threats_x000D_
SGSecure deliverables in bizSAFE certification in levels 1 to 3_x000D_
Appointing SGSecure Representatives_x000D_
Present the risk management plan_x000D_
Risk Communication of all identified hazards, risks evaluated and implemented risk control measures and SGSecure tenets",Business and Organisational Management,Enterprise Risk Management,BOND INTERNATIONAL CONSULTANTS PTE LTD,SSG-WSQ,N
WSQ: Develop a Risk Management Implementation Plan (bizSAFE Level 2),TGS-2012500973,BOND INTERNATIONAL CONSULTANTS PTE LTD,200103238E,SSG-WSQ,"This course aims to empower Risk Management Champions (top management, WSH Committee members, EHS personnel, Managers, Engineers & Supervisors) with the knowledge and skills in managing the risk management process at workplace and to devise their own risk management plans for their own. _x000D_
_x000D_
It involves developing a practical risk management implementation plan for the organisation which identify specific actions to be taken, by whom and time for their completion. It also entails formation of risk management team, risk assessment, controlling and monitoring the risks, communicating these risks to all persons involved and in compliance with the Risk Management Code of Practice","Organisational Workplace Safety and Health (WSH) Policy_x000D_
Verify the expectations of a risk Management Champion/Risk Management Team Leader_x000D_
Workplace Safety and Health Risk Management Regulations requirements_x000D_
Form a risk management team_x000D_
Risk management process_x000D_
Risk Assessment_x000D_
Establish hazard identification methodology_x000D_
Classification of WSH hazards_x000D_
Hazards associated with tools, equipment, materials and machines_x000D_
Hazards associated with work processes/activities, workplace conditions and environment_x000D_
At-risk behaviours_x000D_
Concept of risk assessment_x000D_
Establish risk assessment methodology_x000D_
Establish risk control measures methodology_x000D_
Develop a workplace risk management plan_x000D_
What is SGSecure_x000D_
Stakeholders of SGSecure in Workplace Safety, Health and Security_x000D_
Roles of Risk Management Champions, RM Leaders and RA Leaders in SGSecure_x000D_
Identifying workplace terror threats and implementing risk control measures_x000D_
Formulating a Risk Assessment on terror threats_x000D_
SGSecure deliverables in bizSAFE certification in levels 1 to 3_x000D_
Appointing SGSecure Representatives_x000D_
Present the risk management plan_x000D_
Risk Communication of all identified hazards, risks evaluated and implemented risk control measures and SGSecure tenets",Workplace Safety and Health Management,Workplace Safety and Health Practice,BOND INTERNATIONAL CONSULTANTS PTE LTD,SSG-WSQ,N
WSQ: Develop a Risk Management Implementation Plan (bizSAFE Level 2),TGS-2012500973,BOND INTERNATIONAL CONSULTANTS PTE LTD,200103238E,SSG-WSQ,"This course aims to empower Risk Management Champions (top management, WSH Committee members, EHS personnel, Managers, Engineers & Supervisors) with the knowledge and skills in managing the risk management process at workplace and to devise their own risk management plans for their own. _x000D_
_x000D_
It involves developing a practical risk management implementation plan for the organisation which identify specific actions to be taken, by whom and time for their completion. It also entails formation of risk management team, risk assessment, controlling and monitoring the risks, communicating these risks to all persons involved and in compliance with the Risk Management Code of Practice","Organisational Workplace Safety and Health (WSH) Policy_x000D_
Verify the expectations of a risk Management Champion/Risk Management Team Leader_x000D_
Workplace Safety and Health Risk Management Regulations requirements_x000D_
Form a risk management team_x000D_
Risk management process_x000D_
Risk Assessment_x000D_
Establish hazard identification methodology_x000D_
Classification of WSH hazards_x000D_
Hazards associated with tools, equipment, materials and machines_x000D_
Hazards associated with work processes/activities, workplace conditions and environment_x000D_
At-risk behaviours_x000D_
Concept of risk assessment_x000D_
Establish risk assessment methodology_x000D_
Establish risk control measures methodology_x000D_
Develop a workplace risk management plan_x000D_
What is SGSecure_x000D_
Stakeholders of SGSecure in Workplace Safety, Health and Security_x000D_
Roles of Risk Management Champions, RM Leaders and RA Leaders in SGSecure_x000D_
Identifying workplace terror threats and implementing risk control measures_x000D_
Formulating a Risk Assessment on terror threats_x000D_
SGSecure deliverables in bizSAFE certification in levels 1 to 3_x000D_
Appointing SGSecure Representatives_x000D_
Present the risk management plan_x000D_
Risk Communication of all identified hazards, risks evaluated and implemented risk control measures and SGSecure tenets",Workplace Safety and Health Management,Workplace Safety and Health System Management,BOND INTERNATIONAL CONSULTANTS PTE LTD,SSG-WSQ,N
Network Defender (SF),TGS-2018500737,ITEL LEARNING SYSTEMS (S) PTE LTD,200106514H,SSG-WSQ,"1. To certify competence through a Statement of Attainment (SOA). _x000D_
2. To support learner's career progression. _x000D_
3. To meet organizational requirements for work.","1)	Module 01: Network Attacks and Defense Strategies_x000D_
2)	Module 02: Administrative Network Security_x000D_
3)	Module 03: Technical Network Security_x000D_
4)	Module 04: Network Perimeter Security_x000D_
5)	Module 05: Endpoint Security-Windows System_x000D_
6)	Module 06: Endpoint Security-Linux System_x000D_
7)	Module 07: Endpoint Security-Mobile Devices_x000D_
8)	Module 08: Endpoint Security-IoT Devices_x000D_
9)	Module 09: Administrative Application Security_x000D_
10)	Module 10: Data Security_x000D_
11)	Module 11: Enterprise Virtual Network Security_x000D_
12)	Module 12: Enterprise Cloud Network Security_x000D_
13)	Module 13: Enterprise Wireless Network Security_x000D_
14)	Module 14: Network Traffic Monitoring and Analysis_x000D_
15)	Module 15: Network Logs Monitoring and Analysis _x000D_
16)	Module 16: Incident Response and Forensic Investigation_x000D_
17)	Module 17: Business Continuity and Disaster Recovery_x000D_
18)	Module 18: Risk Anticipation with Risk Management_x000D_
19)	Module 19: Threat Assessment with Attack Surface Analysis_x000D_
20)	Module 20: Threat Prediction with Cyber Threat Intelligence",Business and Organisational Management,Networking,ITEL LEARNING SYSTEMS (S) PTE LTD,SSG-WSQ,N
Microsoft Certified Solutions Associate (MCSA) â€“20741 (SF),TGS-2019503360,ITEL LEARNING SYSTEMS (S) PTE LTD,200106514H,SSG-WSQ,"1.	Plan and implement an IPv4 network._x000D_
2.	Implement Dynamic Host Configuration Protocol (DHCP)._x000D_
3.	Implement IPv6._x000D_
4.	Implement Domain Name System (DNS)._x000D_
5.	Implement and Manage IP address management (IPAM)._x000D_
6.	Plan for remote access._x000D_
7.	Implement DirectAccess._x000D_
8.	Implement virtual private networks (VPN)._x000D_
9.	Implement networking for branch offices._x000D_
10.	Configure advanced networking features._x000D_
11.	Implement Software Defined Networking.","This course covers the whole Microsoft Certified Solutions Associate (MCSA) - 20741 course modules, which includes the following:_x000D_
1.	Planning and implementing an IPv4 network_x000D_
2.	Implementing DHCP_x000D_
3.	Implementing IPv6_x000D_
4.	Implementing DNS_x000D_
5.	Implementing and managing IPAM_x000D_
6.	Remote access in Windows Server 2016_x000D_
7.	Implementing DirectAccess_x000D_
8.	Implementing VPNs_x000D_
9.	Implementing networking for branch offices_x000D_
10.	Configuring advanced networking features_x000D_
11.	Implementing Software Defined Networking",Business and Organisational Management,Networking,ITEL LEARNING SYSTEMS (S) PTE LTD,SSG-WSQ,N
Marketing Automation & CRM Apps  (Bundled) (SF) (Synchronous and Asynchronous E-Learning),TGS-2023019832,LITHAN ACADEMY PTE. LTD.,200202841R,SSG-WSQ,"In the ""HubSpot CRM"" module, learners will acquire essential knowledge and skills encompassing various facets of HubSpot CRM._x000D_
Introduction to HubSpot CRM will familiarize learners with the foundational aspects of HubSpot CRM, including its features and significance in modern marketing practices. Learners will be equipped with the expertise to manage and efficiently organize contacts within the CRM system, utilizing custom properties and dynamic lists for effective segmentation._x000D_
It will further delve into the intricacies of creating and overseeing a robust sales pipeline, empowering learners to track and optimize deals throughout the sales process. Marketing Integration and Lead Management unit will help to explore the seamless integration of marketing tools with HubSpot CRM, enabling learners to capture and monitor leads generated through marketing efforts._x000D_
Learners will learn to utilize the CRM system to handle customer support tasks proficiently, including ticket and case management. Learners will complete projects that reinforce their knowledge and practical abilities by incorporating the learning units. Upon successful completion of the module, participants will be proficient in optimizing HubSpot CRM, encompassing the importation and organization of contacts, efficient deal management, marketing integration for lead tracking, and the provision of exemplary customer support._x000D_
","This module is part of the Qualification "" (SCTP) Professional Diploma in Digital Marketing (Synchronous and Asynchronous E-Learning)""  T_x000D_
Instructional Units _x000D_
1.	Introduction to HubSpot CRM_x000D_
2.	Managing your contact with CRM _x000D_
3.	Sales Pipeline and Deal Management_x000D_
4.	Marketing Integration and Lead Management_x000D_
5.	Customer Support and service management_x000D_
Learning outcomes related to knowledge:_x000D_
1. Gain an understanding of the foundational aspects of HubSpot CRM, including its features and significance in modern marketing practices._x000D_
2. Learn how to efficiently manage and organize contacts within the CRM system, utilizing custom properties and dynamic lists for effective segmentation._x000D_
3. Explore the seamless integration of marketing tools with HubSpot CRM, enabling them to capture and monitor leads generated through marketing efforts._x000D_
Learning outcomes related to skills:_x000D_
1. Develop skills in managing contacts within HubSpot CRM, including organizing them efficiently and utilizing segmentation techniques for targeted marketing._x000D_
2. Enhance their ability to track and optimize deals throughout the sales process, effectively managing a robust sales pipeline within HubSpot CRM._x000D_
3. Acquire proficiency in integrating marketing tools with HubSpot CRM, enabling them to capture and monitor leads effectively, ultimately improving lead management and conversion rates.",Business and Organisational Management,Networking,LITHAN ACADEMY PTE. LTD.,SSG-WSQ,N
Workplace Safety and Health for Food and Beverage Operations,TGS-2017501377,BREADTALK GROUP PTE. LTD.,200302045G,SSG-WSQ,"The learner is to understand the various overview of Safety Management System such as best practices that is in place in Singapore or worldwide. [LU2] Learners will then be shared with WSH Act, organisational policies related to Safety and expectations in reducing injuries. [LU3] Learners will understand the ways to identify non-compliance, unsafe working conditions, and examples of common hazards in the F&B environment and in the company. [LU4] Learners will then be briefed on the types, and meaning of safety signs and symbols, the commonly used equipment/tools and identify PPE requirements and their safe operation","Learners will learn about _x000D_
- Safety Management System in Food Services Sector_x000D_
- WSH Policies and procedures_x000D_
- Potential Hazards and Risk_x000D_
- Risk Control Measures_x000D_
",Workplace Safety and Health Management,Workplace Safety and Health Practice,BREADTALK GROUP PTE. LTD.,SSG-WSQ,N
Workplace Safety and Health for Food and Beverage Operations,TGS-2017501377,BREADTALK GROUP PTE. LTD.,200302045G,SSG-WSQ,"The learner is to understand the various overview of Safety Management System such as best practices that is in place in Singapore or worldwide. [LU2] Learners will then be shared with WSH Act, organisational policies related to Safety and expectations in reducing injuries. [LU3] Learners will understand the ways to identify non-compliance, unsafe working conditions, and examples of common hazards in the F&B environment and in the company. [LU4] Learners will then be briefed on the types, and meaning of safety signs and symbols, the commonly used equipment/tools and identify PPE requirements and their safe operation","Learners will learn about _x000D_
- Safety Management System in Food Services Sector_x000D_
- WSH Policies and procedures_x000D_
- Potential Hazards and Risk_x000D_
- Risk Control Measures_x000D_
",Workplace Safety and Health Management,Workplace Safety and Health System Management,BREADTALK GROUP PTE. LTD.,SSG-WSQ,N
Effectiveness Management L3 (Communicate and Relate Effectively at the Workplace) (Synchronous e-learning),TGS-2011500853,NTUC LEARNINGHUB PTE. LTD.,200409359E,SSG-WSQ,"Effectiveness Management L3 (Communicate and Relate Effectively at the Workplace) will provide an overview on the importance of aligning organization policies and procedures and to create awareness of effective communication and its barriers. It covers the effective use of communication techniques in work settings, apply communication techniques to address the barriers and conflicts in the communication. Learners will also learn about the negotiation skills, delegation of work to the team and provide guidance and opportunities for team to contribute ideas in relation to organisation objectives. It also covers the implementation plan and evaluation process on the effectiveness of implemented solution.","Upon completing this course, participants will be able to:_x000D_
â€¢	Analyse information received and align with organizational policies and procedures to communicate at all levels within the organization. _x000D_
â€¢	Communicate and respond to information received considering the background of individual role and recipient of information _x000D_
â€¢	Use appropriate communication techniques to clarify and respond to workplace situations _x000D_
â€¢	Use appropriate communication techniques to clarify and respond to workplace situations _x000D_
â€¢	Apply communication plan that improve the effectiveness of implementation plans_x000D_
â€¢	Address the barriers to communication and work with team to achieve organizational objectives _x000D_
â€¢	Evaluate and communicate team performance and recommend solution for improve effectiveness of plan",Organisational Development,Conflict Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
